team_name,label,date,points,Home_Away,teamId,competitionId,seasonId,roundId,matchId,average_accelerations,average_aerialDuels,average_assists,average_attackingActions,average_backPasses,average_ballLosses,average_ballRecoveries,average_concededGoals,average_corners,average_crosses,average_dangerousOpponentHalfRecoveries,average_dangerousOwnHalfLosses,average_defensiveActions,average_defensiveDuels,average_defensiveDuelsWon,average_directFreeKicks,average_directFreeKicksOnTarget,average_directRedCards,average_dribbleDistanceFromOpponentGoal,average_dribbles,average_duels,average_duelsWon,average_fieldAerialDuels,average_fieldAerialDuelsWon,average_forwardPasses,average_fouls,average_freeKicks,average_freeKicksOnTarget,average_gkAerialDuels,average_gkAerialDuelsWon,average_gkExits,average_gkGoalKicks,average_gkGoalKicksSuccess,average_gkSaves,average_gkSuccessfulExits,average_goals,average_headShots,average_interceptions,average_keyPasses,average_lateralPasses,average_linkupPlays,average_longGoalKicks,average_longPassLength,average_longPasses,average_looseBallDuels,average_looseBallDuelsWon,average_missedBalls,average_newDefensiveDuelsWon,average_newDuelsWon,average_newOffensiveDuelsWon,average_newSuccessfulDribbles,average_offensiveDuels,average_offensiveDuelsWon,average_offsides,average_opponentHalfRecoveries,average_opponentOffsides,average_ownHalfLosses,average_passLength,average_passes,average_passesToFinalThird,average_penalties,average_possessionPercent,average_progressiveRun,average_receivedPass,average_redCards,average_shortGoalKicks,average_shotAssists,average_shotOnTargetAssists,average_shots,average_shotsAgainst,average_smartPasses,average_successfulAttackingActions,average_successfulBackPasses,average_successfulCrosses,average_successfulDefensiveAction,average_successfulDribbles,average_successfulForwardPasses,average_successfulKeyPasses,average_successfulLateralPasses,average_successfulLinkupPlays,average_successfulLongPasses,average_successfulPasses,average_successfulPassesToFinalThird,average_successfulPenalties,average_successfulSmartPasses,average_successfulThroughPasses,average_successfulVerticalPasses,average_throughPasses,average_touchInBox,average_verticalPasses,average_xgShot,average_xgShotAgainst,average_yellowCards,percent_aerialDuelsWon,percent_defensiveDuelsWon,percent_directFreeKicksOnTarget,percent_duelsWon,percent_fieldAerialDuelsWon,percent_gkAerialDuelsWon,percent_gkSaves,percent_gkSuccessfulExits,percent_goalConversion,percent_headShotsOnTarget,percent_newDefensiveDuelsWon,percent_newDuelsWon,percent_newOffensiveDuelsWon,percent_newSuccessfulDribbles,percent_offensiveDuelsWon,percent_penaltiesConversion,percent_shotsOnTarget,percent_successfulBackPasses,percent_successfulCrosses,percent_successfulDribbles,percent_successfulForwardPasses,percent_successfulKeyPasses,percent_successfulLateralPasses,percent_successfulLinkupPlays,percent_successfulLongPasses,percent_successfulPasses,percent_successfulPassesToFinalThird,percent_successfulShotAssists,percent_successfulSmartPasses,percent_successfulThroughPasses,percent_successfulTouchInBox,percent_successfulVerticalPasses,percent_win,percent_yellowCardsPerFoul,total_accelerations,total_aerialDuels,total_aerialDuelsWon,total_assists,total_attackingActions,total_backPasses,total_cleanSheets,total_concededGoals,total_corners,total_crosses,total_dangerousOpponentHalfRecoveries,total_dangerousOwnHalfLosses,total_defensiveActions,total_defensiveDuels,total_defensiveDuelsWon,total_directFreeKicks,total_directFreeKicksOnTarget,total_directRedCards,total_dribbles,total_duels,total_duelsWon,total_fieldAerialDuels,total_fieldAerialDuelsWon,total_forwardPasses,total_fouls,total_freeKicks,total_freeKicksOnTarget,total_gkAerialDuels,total_gkAerialDuelsWon,total_gkExits,total_gkGoalKicks,total_gkGoalKicksSuccess,total_gkSaves,total_gkSuccessfulExits,total_goals,total_headShots,total_interceptions,total_keyPasses,total_lateralPasses,total_linkupPlays,total_longGoalKicks,total_longPasses,total_looseBallDuels,total_looseBallDuelsWon,total_losses,total_matches,total_matchesTagged,total_missedBalls,total_newDefensiveDuelsWon,total_newDuelsWon,total_newOffensiveDuelsWon,total_newSuccessfulDribbles,total_offensiveDuels,total_offensiveDuelsWon,total_offsides,total_opponentHalfRecoveries,total_opponentOffsides,total_ownHalfLosses,total_passes,total_passesToFinalThird,total_penalties,total_ppda,total_pressingDuels,total_pressingDuelsWon,total_progressiveRun,total_receivedPass,total_recoveries,total_redCards,total_shortGoalKicks,total_shotAssists,total_shotOnTargetAssists,total_shots,total_shotsAgainst,total_smartPasses,total_successfulAttackingActions,total_successfulBackPasses,total_successfulCrosses,total_successfulDefensiveActions,total_successfulDribbles,total_successfulForwardPasses,total_successfulKeyPasses,total_successfulLateralPasses,total_successfulLinkupPlays,total_successfulLongPasses,total_successfulPasses,total_successfulPassesToFinalThird,total_successfulPenalties,total_successfulSmartPasses,total_successfulThroughPasses,total_successfulVerticalPasses,total_throughPasses,total_touchInBox,total_verticalPasses,total_xgShot,total_xgShotAgainst,total_yellowCards
CFR Cluj,"Rapid Bucureşti - CFR Cluj, 1-1",2025-07-20 20:30:00,1,Away,11611,719,191642,4435361,5715693,2.73,30.91,0,40.91,44.55,98.18,65.45,0.91,3.64,9.09,1.82,6.36,109.1,40.91,5.45,0,0,0,14.25,18.18,139.1,51.82,30.91,18.18,124.5,12.73,0.91,0.91,0,0,0.91,10.91,10,5.45,0,0.91,1.82,37.27,0,101.8,11.82,10.91,25.7,37.27,22.73,10,6.36,20,62.73,14.55,7.27,44.55,18.18,0,18.18,0,30.91,17.67,317.3,52.73,0,42,15.45,230,0,0,9.09,0,13.64,19.09,0,16.36,40.91,6.36,75.45,10.91,92.73,0,93.64,8.18,22.73,269.1,36.36,0,0,3.64,93.64,5.45,17.27,101.8,0.95,1.2,1.82,58.82,13.33,0,37.25,58.82,0,0,0,6.667,0,48.89,45.1,32.65,40,40.82,0,20,91.84,70,60,74.45,0,91.96,69.23,60.98,84.81,68.97,40,0,66.67,31.58,91.96,0,14.29,3,34,20,0,45,49,0,1,4,10,2,7,120,45,6,0,0,0,20,153,57,34,20,137,14,1,1,0,0,1,12,11,6,0,1,2,41,0,112,13,12,41,25,11,108,1,1,7,22,69,16,8,49,20,0,20,0,34,349,58,0,13.18,15,0,17,253,72,0,0,10,0,15,21,0,18,45,7,83,12,102,0,103,9,25,296,40,0,0,4,103,6,19,112,1.05,1.32,2
Csikszereda Miercurea Ciuc,"Csikszereda Miercurea Ciuc - Petrolul 52, 1-1",2025-10-24 16:30:00,1,Home,22731,719,191642,4435361,5715785,0,26.36,0,50,47.27,89.09,71.82,0.91,1.82,21.82,4.55,3.64,103.6,52.73,12.73,0.91,0,0,13.79,15.45,141.8,60.91,23.64,12.73,138.2,12.73,2.73,0.91,0,0,0.91,5.45,5.45,2.73,0,0.91,0.91,24.55,0,167.3,0,1.82,22.87,47.27,14.55,7.27,1.82,37.27,79.09,20.91,6.36,48.18,27.27,0.91,22.73,0.91,17.27,21.61,382.7,66.36,0.91,58.7,11.82,282.7,0,4.55,4.55,0,12.73,10.91,0,16.36,43.64,7.27,75.45,13.64,105.5,0,145.4,0,29.09,319.1,50.91,0,0,0.91,145.4,2.73,15.45,167.3,1.84,1.5,0.91,51.72,24.14,0,42.95,53.85,0,0,0,7.143,0,70.69,55.77,43.4,41.18,56.6,0,21.43,92.31,33.33,88.24,76.32,0,86.96,0,61.54,83.37,76.71,60,0,33.33,29.41,86.96,0,7.143,0,29,15,0,55,52,0,1,2,24,5,4,114,58,14,1,0,0,17,156,67,26,14,152,14,3,1,0,0,1,6,6,3,0,1,1,27,0,184,0,2,52,16,8,98,1,1,2,41,87,23,7,53,30,1,25,1,19,421,73,1,10.43,1,0,13,311,79,0,5,5,0,14,12,0,18,48,8,83,15,116,0,160,0,32,351,56,0,0,1,160,3,17,184,2.02,1.65,1
Csikszereda Miercurea Ciuc,"Universitatea Craiova - Csikszereda Miercurea Ciuc, 5-0",2025-12-22 19:00:00,0,Away,22731,719,191642,4435361,5715841,0,21,0,11,44,85,53,5,1,5,1,11,90,53,8,0,0,0,6.15,4,123,35,19,11,100,12,0,0,0,0,2,8,5,4,0,0,0,16,0,88,0,10,27.86,33,12,4,1,22,47,10,3,37,12,4,6,2,40,19.78,257,30,0,29.6,4,171,1,2,0,0,2,17,0,4,41,0,49,3,63,0,76,0,17,201,15,0,0,0,76,1,1,88,0.09,1.98,2,52.38,15.09,0,28.46,57.89,0,0,0,0,0,41.51,38.21,27.03,75,32.43,0,50,93.18,0,75,63,0,86.36,0,51.52,78.21,50,0,0,0,0,86.36,0,16.67,0,21,11,0,11,44,0,5,1,5,1,11,90,53,8,0,0,0,4,123,35,19,11,100,12,0,0,0,0,2,8,5,4,0,0,0,16,0,88,0,10,33,12,4,85,1,1,1,22,47,10,3,37,12,4,6,2,40,257,30,0,52.56,0,0,4,171,53,1,2,0,0,2,17,0,4,41,0,49,3,63,0,76,0,17,201,15,0,0,0,76,1,1,88,0.09,1.98,2
Csikszereda Miercurea Ciuc,"Csikszereda Miercurea Ciuc - Hermannstadt, 2-1",2026-02-23 16:00:00,3,Home,22731,719,191642,4435361,5715898,0,39.38,0.94,39.38,30.94,120,80.63,0.94,5.63,9.38,3.75,3.75,166.9,68.44,17.81,0,0,0,23.58,20.63,200.6,77.81,37.5,18.75,120,8.44,3.75,2.81,0,0,0,9.38,9.38,0.94,0,1.88,2.81,59.06,0,79.69,0,6.56,25.58,49.69,22.5,10.31,0,43.13,91.88,17.81,6.56,70.31,29.06,1.88,16.88,0.94,40.31,20.65,267.2,40.31,0,41.3,8.44,134.1,0,2.81,9.38,0,9.38,9.38,0,12.19,26.25,2.81,122.8,12.19,68.44,0,63.75,0,16.88,183.8,21.56,0,0,0,63.75,0,9.38,79.69,0.38,1.36,0.94,52.38,26.03,0,38.79,50,0,0,0,20,33.33,63.01,45.79,25.33,31.82,41.33,0,30,84.85,30,59.09,57.03,0,80,0,33.96,68.77,53.49,70,0,0,20,80,100,11.11,0,42,22,1,42,33,0,1,6,10,4,4,178,73,19,0,0,0,22,214,83,40,20,128,9,4,3,0,0,0,10,10,1,0,2,3,63,0,85,0,7,53,24,11,128,1,1,0,46,98,19,7,75,31,2,18,1,43,285,43,0,7.46,0,0,9,143,86,0,3,10,0,10,10,0,13,28,3,131,13,73,0,68,0,18,196,23,0,0,0,68,0,10,85,0.41,1.45,1
Dinamo Bucureşti,"Metaloglobus - Dinamo Bucureşti, 0-1",2025-08-08 20:30:00,3,Away,11564,719,191642,4435361,5715715,0.91,34.55,0,32.73,71.82,119.1,84.55,0,8.18,6.36,0.91,6.36,139.1,54.55,18.18,0,0,0,11.34,14.55,164.6,65.45,30.91,15.45,144.6,5.45,0.91,0,0,0,2.73,10,8.18,0,0,0.91,1.82,50,0,98.18,5.45,6.36,28.32,40.91,20.91,10,0.91,37.27,82.73,18.18,7.27,54.55,20,1.82,26.36,0,60,16.68,393.6,40,0,45.5,10.91,293.6,0,3.64,9.09,0,10.91,11.82,0.91,11.82,70,0.91,104.5,9.09,102.7,0,90,5.45,21.82,332.7,29.09,0,0.91,0.91,90,1.82,9.09,98.18,0.35,0.45,0,50,33.33,0,39.78,50,0,0,0,8.333,50,68.33,50.28,33.33,50,36.67,0,25,97.47,14.29,62.5,71.07,0,91.67,100,53.33,84.53,72.73,50,100,50,20,91.67,100,0,1,38,19,0,36,79,1,0,9,7,1,7,153,60,20,0,0,0,16,181,72,34,17,159,6,1,0,0,0,3,11,9,0,0,1,2,55,0,108,6,7,45,23,11,131,1,1,1,41,91,20,8,60,22,2,29,0,66,433,44,0,10.96,14,0,12,323,93,0,4,10,0,12,13,1,13,77,1,115,10,113,0,99,6,24,366,32,0,1,1,99,2,10,108,0.39,0.49,0
FCS Bucureşti,"FCS Bucureşti - Oţelul, 1-0",2025-09-28 19:30:00,3,Home,11565,719,191642,4435361,5715762,5.51,44.08,0,42.24,54.18,101.9,79.9,0,3.67,11.94,1.84,6.43,136.8,57.86,10.1,0,0,0,25.58,16.53,198.4,78.06,41.33,18.37,137.8,14.69,0.92,0.92,0,0,0,7.35,6.43,2.76,0,0.92,1.84,34.9,0,132.2,14.69,2.76,32.61,34.9,35.82,19.29,4.59,33.06,95.51,22.96,10.1,60.61,28.47,0,20.2,1.84,38.57,19.57,402.2,39.49,0.92,52,13.78,291.1,0,4.59,6.43,0,12.86,12.86,0.92,17.45,48.67,2.76,88.16,10.1,109.3,0,117.5,8.27,22.04,338,30.31,0.92,0.92,1.84,117.5,2.76,17.45,132.2,2.27,1.35,1.84,45.83,17.46,0,39.35,44.44,0,0,0,7.143,50,57.14,48.15,37.88,61.11,46.97,100,28.57,89.83,23.08,61.11,79.33,0,88.89,56.25,63.16,84.02,76.74,57.14,100,66.67,31.58,88.89,100,12.5,6,48,22,0,46,59,1,0,4,13,2,7,149,63,11,0,0,0,18,216,85,45,20,150,16,1,1,0,0,0,8,7,3,0,1,2,38,0,144,16,3,38,39,21,111,1,1,5,36,104,25,11,66,31,0,22,2,42,438,43,1,12.38,7,0,15,317,87,0,5,7,0,14,14,1,19,53,3,96,11,119,0,128,9,24,368,33,1,1,2,128,3,19,144,2.47,1.47,2
FCS Bucureşti,"Botoşani - FCS Bucureşti, 3-2",2026-04-03 19:30:00,0,Away,11565,719,191642,4437511,5827250,1.76,20.29,0,33.53,35.29,103.2,75,2.65,0,11.47,2.65,9.71,119.1,62.65,18.53,0,0,0.88,28.59,15.88,172.1,55.59,17.65,8.82,117.3,11.47,1.76,0.88,0,0,0,11.47,10.59,3.53,0,1.76,0,36.18,0,99.71,5.29,4.41,26.29,55.59,20.29,1.76,0,35.29,67.94,20.29,5.29,68.82,24.71,3.53,14.12,0.88,40.59,19.5,304.4,35.29,0.88,39.6,9.71,182.7,0.88,7.06,0,0,4.41,15,1.76,12.35,33.53,3.53,82.06,11.47,73.24,0,83.82,5.29,23.82,226.8,18.53,0.88,0.88,0,83.82,1.76,6.18,99.71,0.84,1.98,0,52.17,29.58,0,32.31,50,0,0,0,40,0,56.34,39.49,29.49,33.33,35.9,100,60,95,30.77,72.22,62.41,0,84.07,100,42.86,74.49,52.5,0,50,0,28.57,84.07,0,0,2,23,12,0,38,40,0,3,0,13,3,11,135,71,21,0,0,1,18,195,63,20,10,133,13,2,1,0,0,0,13,12,4,0,2,0,41,0,113,6,5,63,23,2,117,1,1,0,40,77,23,6,78,28,4,16,1,46,345,40,1,11.07,7,0,11,207,85,1,8,0,0,5,17,2,14,38,4,93,13,83,0,95,6,27,257,21,1,1,0,95,2,7,113,0.95,2.24,0
Hermannstadt,"Dinamo Bucureşti - Hermannstadt, 2-0",2025-08-30 20:30:00,0,Away,55427,719,191642,4435361,5715738,0.93,40.82,0,38.97,46.39,87.22,52.89,1.86,8.35,12.06,2.78,4.64,141,74.23,12.99,0,0,0,17.43,15.77,195.8,64.95,39.9,12.99,105.8,7.42,1.86,0.93,0,0,1.86,9.28,9.28,2.78,0,0,1.86,25.98,0,83.51,2.78,4.64,26.58,37.11,22.27,10.21,2.78,49.18,95.57,22.27,9.28,58.45,27.84,0,14.85,0.93,39.9,19.11,279.3,25.05,0,38.8,8.35,166.1,0,8.35,5.57,0,11.13,14.85,0,13.92,41.75,1.86,89.07,11.13,75.15,0,68.66,0.93,21.34,217.1,18.56,0,0,0.93,68.66,0.93,12.99,83.51,0.7,1.67,0.93,34.09,17.5,0,33.18,32.56,0,0,0,0,50,66.25,48.82,38.1,58.82,47.62,0,25,90,15.38,70.59,71.05,0,82.22,33.33,57.5,77.74,74.07,66.67,0,100,42.86,82.22,0,12.5,1,44,15,0,42,50,0,2,9,13,3,5,152,80,14,0,0,0,17,211,70,43,14,114,8,2,1,0,0,2,10,10,3,0,0,2,28,0,90,3,5,40,24,11,94,1,1,3,53,103,24,10,63,30,0,16,1,43,301,27,0,28.47,9,0,9,179,57,0,9,6,0,12,16,0,15,45,2,96,12,81,0,74,1,23,234,20,0,0,1,74,1,14,90,0.75,1.8,1
Hermannstadt,"Hermannstadt - Oţelul, 1-3",2025-11-02 16:45:00,0,Home,55427,719,191642,4435361,5715794,8.35,32.47,0.93,33.4,27.84,93.71,57.53,2.78,5.57,10.21,1.86,9.28,127.1,53.81,10.21,0.93,0.93,0.93,15.73,15.77,159.6,57.53,28.76,12.99,74.23,10.21,3.71,1.86,0,0,0,13.92,9.28,2.78,0,0.93,3.71,40.82,0,61.24,2.78,12.99,20.26,18.56,29.69,8.35,2.78,34.33,72.37,15.77,7.42,43.61,25.05,0.93,14.85,1.86,33.4,20.98,186.5,24.12,0,29.2,21.34,115,0.93,0.93,4.64,0,7.42,17.63,0,12.06,25.98,1.86,89.07,9.28,50.1,0,48.25,1.86,11.13,142.9,15.77,0,0,0,48.25,0,11.13,61.24,0.68,3.68,0.93,42.86,18.97,100,36.05,45.16,0,0,0,12.5,50,63.79,45.35,36.17,47.06,57.45,0,37.5,93.33,18.18,58.82,67.5,0,78.79,66.67,60,76.62,65.38,60,0,0,33.33,78.79,0,9.091,9,35,15,1,36,30,0,3,6,11,2,10,137,58,11,1,1,1,17,172,62,31,14,80,11,4,2,0,0,0,15,10,3,0,1,4,44,0,66,3,14,20,32,9,101,1,1,3,37,78,17,8,47,27,1,16,2,36,201,26,0,19.52,17,0,23,124,62,1,1,5,0,8,19,0,13,28,2,96,10,54,0,52,2,12,154,17,0,0,0,52,0,12,66,0.73,3.97,1
Hermannstadt,"Metaloglobus - Hermannstadt, 1-1",2025-11-24 16:30:00,1,Away,55427,719,191642,4435361,5715808,0,35.22,0,38.15,60.65,116.4,84.13,0.98,7.83,9.78,3.91,3.91,138.9,61.63,16.63,0.98,0,0,17.11,17.61,194.7,81.2,27.39,10.76,169.2,9.78,3.91,0,0,0,1.96,6.85,6.85,3.91,0,0.98,0,42.07,0,98.8,4.89,1.96,33.09,51.85,13.7,7.83,1.96,39.13,92.93,32.28,9.78,84.13,43.04,2.93,26.41,0,29.35,18.99,382.5,48.91,0.98,48.9,4.89,228.9,0,4.89,4.89,0,10.76,11.74,0,16.63,55.76,2.93,94.89,12.72,109.6,0,83.15,3.91,33.26,292.5,30.33,0.98,0,0.98,83.15,0.98,11.74,98.8,1.3,1.24,0.98,38.89,26.98,0,41.71,39.29,0,0,0,9.091,0,63.49,47.74,38.37,55.56,51.16,100,36.36,91.94,30,72.22,64.74,0,84.16,80,64.15,76.47,62,40,0,100,33.33,84.16,0,10,0,36,14,0,39,62,0,1,8,10,4,4,142,63,17,1,0,0,18,199,83,28,11,173,10,4,0,0,0,2,7,7,4,0,1,0,43,0,101,5,2,53,14,8,119,1,1,2,40,95,33,10,86,44,3,27,0,30,391,50,1,9.77,3,0,5,234,86,0,5,5,0,11,12,0,17,57,3,97,13,112,0,85,4,34,299,31,1,0,1,85,1,12,101,1.33,1.27,1
Hermannstadt,"Hermannstadt - CFR Cluj, 0-1",2026-02-16 16:00:00,0,Home,55427,719,191642,4435361,5715888,0,41.14,0,27.43,51.43,126,77.14,0.86,5.14,12,2.57,4.29,125.1,57.43,15.43,0,0,0,8.74,6.86,186,71.14,34.29,13.71,139.7,12,0.86,0.86,0,0,0,6,5.14,2.57,0,0,1.71,26.57,0,104.6,5.14,4.29,25.51,62.57,36.86,17.14,0,39.43,87.43,15.43,3.43,50.57,23.14,4.29,18,0,41.14,20.42,348,42,0.86,51.1,7.71,217.7,0,1.71,4.29,0,8.57,10.29,0,13.71,46.29,6,81.43,6,91.71,0,84.86,4.29,30.86,262.3,27.43,0,0,6.86,84.86,12,15.43,104.6,1.76,1.53,1.71,37.5,26.87,0,38.25,40,0,0,0,0,50,68.66,47,30.51,50,45.76,0,50,90,50,87.5,65.64,0,81.15,83.33,49.32,75.37,65.31,60,0,57.14,55.56,81.15,0,14.29,0,48,18,0,32,60,0,1,6,14,3,5,146,67,18,0,0,0,8,217,83,40,16,163,14,1,1,0,0,0,7,6,3,0,0,2,31,0,122,6,5,73,43,20,147,1,1,0,46,102,18,4,59,27,5,21,0,48,406,49,1,12.73,0,0,9,254,90,0,2,5,0,10,12,0,16,54,7,95,7,107,0,99,5,36,306,32,0,0,8,99,14,18,122,2.05,1.78,2
Metaloglobus,"Metaloglobus - CFR Cluj, 1-1",2025-09-13 20:30:00,1,Home,11943,719,191642,4435361,5715746,0,20.29,0,19.41,62.65,100.6,68.82,0.88,1.76,7.06,1.76,6.18,144.7,79.41,17.65,1.76,0.88,0,13.76,6.18,177.3,56.47,20.29,7.94,136.8,10.59,2.65,0.88,0,0,0.88,9.71,7.94,7.94,0,0.88,0,45,0,104.1,8.82,3.53,20.84,29.12,23.82,8.82,6.18,58.24,95.29,20.29,4.41,53.82,22.06,1.76,13.24,1.76,43.24,17.94,381.2,37.06,0.88,49,7.94,277.1,0,7.94,0.88,0,6.18,13.24,0,7.94,59.12,1.76,111.2,6.18,88.24,0,97.06,6.18,6.18,307.9,16.76,0.88,0,0.88,97.06,4.41,7.94,104.1,0.77,2.44,0.88,39.13,22.22,50,31.84,39.13,0,0,0,14.29,0,73.33,53.73,37.7,71.43,40.98,100,28.57,94.37,25,100,64.52,0,93.22,70,21.21,80.79,45.24,0,0,20,22.22,93.22,0,8.333,0,23,9,0,22,71,0,1,2,8,2,7,164,90,20,2,1,0,7,201,64,23,9,155,12,3,1,0,0,1,11,9,9,0,1,0,51,0,118,10,4,33,27,10,114,1,1,7,66,108,23,5,61,25,2,15,2,49,432,42,1,11.36,0,0,9,314,78,0,9,1,0,7,15,0,9,67,2,126,7,100,0,110,7,7,349,19,1,0,1,110,5,9,118,0.87,2.77,1
Metaloglobus,"Metaloglobus - Universitatea Craiova, 0-0",2025-10-26 13:00:00,1,Home,11943,719,191642,4435361,5715790,1.86,38.97,0,12.06,38.97,103,66.8,0,2.78,6.49,0.93,7.42,174.4,91.86,20.41,0,0,0,2.3,2.78,200.4,58.45,38.97,14.85,100.2,10.21,0.93,0,0,0,0.93,14.85,13.92,3.71,0,0,0,43.61,0,84.43,11.13,11.13,21.16,33.4,12.99,3.71,4.64,54.74,86.29,12.99,1.86,56.6,19.48,0,10.21,3.71,47.32,18.99,255.2,27.84,0,32.7,8.35,167,0,3.71,1.86,0,2.78,15.77,0,4.64,34.33,1.86,113.2,2.78,71.44,0,76.08,5.57,19.48,206.9,18.56,0,0,0,76.08,0.93,1.86,84.43,0.07,1.18,1.86,38.1,22.22,0,29.17,38.1,0,0,0,0,0,59.6,43.06,22.95,66.67,34.43,0,33.33,88.1,28.57,100,71.3,0,90.11,50,58.33,81.09,66.67,50,0,0,0,90.11,0,18.18,2,42,16,0,13,42,1,0,3,7,1,8,188,99,22,0,0,0,3,216,63,42,16,108,11,1,0,0,0,1,16,15,4,0,0,0,47,0,91,12,12,36,14,4,111,1,1,5,59,93,14,2,61,21,0,11,4,51,275,30,0,18.42,2,0,9,180,72,0,4,2,0,3,17,0,5,37,2,122,3,77,0,82,6,21,223,20,0,0,0,82,1,2,91,0.08,1.27,2
Metaloglobus,"Universitatea Cluj - Metaloglobus, 3-1",2025-11-07 17:00:00,0,Away,11943,719,191642,4435361,5715800,0.95,23.68,0,37.89,62.53,102.3,73.89,2.84,1.89,13.26,3.79,6.63,104.2,54,9.47,0,0,0,11.65,16.11,171.5,55.89,23.68,5.68,159.2,9.47,0.95,0.95,0,0,0,3.79,2.84,4.74,0,0.95,0.95,26.53,0,162,2.84,1.89,30.06,38.84,41.68,19.89,1.89,34.11,74.84,15.16,9.47,52.11,20.84,0,18.95,0,31.26,18,450.9,56.84,0,52.7,15.16,334.4,0,1.89,5.68,0,8.53,12.32,0,18,61.58,3.79,66.32,12.32,117.5,0,139.3,2.84,18,377.1,39.79,0,0,0,139.3,1.89,9.47,162,0.53,2.07,0.95,24,17.54,0,32.6,24,0,0,0,11.11,100,63.16,43.65,29.09,58.82,40,0,55.56,98.48,28.57,76.47,73.81,0,85.96,100,46.34,83.61,70,83.33,0,0,50,85.96,0,10,1,25,6,0,40,66,0,3,2,14,4,7,110,57,10,0,0,0,17,181,59,25,6,168,10,1,1,0,0,0,4,3,5,0,1,1,28,0,171,3,2,41,44,21,108,1,1,2,36,79,16,10,55,22,0,20,0,33,476,60,0,19.78,1,0,16,353,78,0,2,6,0,9,13,0,19,65,4,70,13,124,0,147,3,19,398,42,0,0,0,147,2,10,171,0.56,2.19,1
Metaloglobus,"Metaloglobus - Argeș, 0-2",2026-01-23 16:00:00,0,Home,11943,719,191642,4435361,5715860,0,53.62,0,27.77,35.43,124.5,68.94,1.91,5.74,14.36,0.96,8.62,170.4,52.66,10.53,0,0,0,18.05,10.53,181.9,55.53,45.96,17.23,133.1,12.45,2.87,1.91,0,0,0.96,6.7,3.83,1.91,0,0,1.91,64.15,0,86.17,6.7,5.74,22.57,45,25.85,10.53,6.7,31.6,78.51,18.19,2.87,49.79,16.28,2.87,12.45,1.91,57.45,19.66,301.6,41.17,0,43.9,3.83,173.3,0.96,2.87,1.91,0,2.87,14.36,0,6.7,32.55,2.87,113.9,2.87,85.21,0,69.89,3.83,23.94,218.3,28.72,0,0,0,69.89,0.96,9.57,86.17,0.29,1.56,2.87,33.93,20,0,30.53,37.5,0,0,0,0,0,60,43.16,36.54,27.27,32.69,0,33.33,91.89,20,27.27,64.03,0,81.11,57.14,53.19,72.38,69.77,0,0,0,20,81.11,0,23.08,0,56,19,0,29,37,0,2,6,15,1,9,178,55,11,0,0,0,11,190,58,48,18,139,13,3,2,0,0,1,7,4,2,0,0,2,67,0,90,7,6,47,27,11,130,1,1,7,33,82,19,3,52,17,3,13,2,60,315,43,0,6.58,4,0,4,181,72,1,3,2,0,3,15,0,7,34,3,119,3,89,0,73,4,25,228,30,0,0,0,73,1,10,90,0.3,1.63,3
Metaloglobus,"Universitatea Craiova - Metaloglobus, 2-1",2026-02-28 14:00:00,0,Away,11943,719,191642,4435361,5715910,0.96,35.43,0,21.06,43.09,131.2,95.74,1.91,0.96,8.62,0.96,5.74,180,69.89,15.32,0,0,0,15.91,9.57,185.7,55.53,33.51,11.49,133.1,6.7,0.96,0,0,0,0,9.57,9.57,3.83,0,0.96,0,74.68,0,68.94,0,3.83,27.11,54.57,41.17,10.53,1.91,45.96,81.38,12.45,3.83,39.26,17.23,2.87,29.68,0,61.28,18.74,280.5,36.38,0,30.9,11.49,156.1,0,5.74,0.96,0,2.87,11.49,0,8.62,38.3,1.91,133.1,5.74,77.55,0,50.74,0,26.81,195.3,19.15,0,0,0.96,50.74,3.83,11.49,68.94,0.25,1.2,0.96,35.14,21.92,0,29.9,34.29,0,0,0,33.33,0,65.75,43.81,31.71,40,43.9,0,100,88.89,22.22,60,58.27,0,73.61,0,49.12,69.62,52.63,100,0,25,41.67,73.61,0,14.29,1,37,13,0,22,45,0,2,1,9,1,6,188,73,16,0,0,0,10,194,58,35,12,139,7,1,0,0,0,0,10,10,4,0,1,0,78,0,72,0,4,57,43,11,137,1,1,2,48,85,13,4,41,18,3,31,0,64,293,38,0,12.91,15,0,12,163,100,0,6,1,0,3,12,0,9,40,2,139,6,81,0,53,0,28,204,20,0,0,1,53,4,12,72,0.26,1.25,1
